student_id,reading,math,pre_reading,pre_math,teacher_fem,two_teachers,mixed_grades,class_size,percent_girls,percent_native,teacher_exp,grade,school_id,classroom_id
76,-0.705242514610291,0.185834124684334,-1.57156920433044,-0.805430710315704,1,0,0,19,50,23.529411315918,7,8,1768,8B
77,0.510792911052704,-0.704691529273987,-0.858287215232849,-0.928024113178253,1,0,0,19,47.0588226318359,81.25,4,4,1778,4A
78,0.183562204241753,-0.409008473157883,-0.0557922311127186,-0.70416271686554,1,1,0,19,77.7777786254883,76.470588684082,3,4,1778,4B
79,0.153498202562332,0.877636432647705,0.771156907081604,0.400985449552536,0,0,0,13,41.6666679382324,70,26,6,1795,6A
80,0.638839721679688,-0.507569491863251,1.91423153877258,1.68369209766388,1,0,0,19,50,100,3,4,4107,4A
81,0.638839721679688,-0.211886450648308,-1.27836585044861,-0.70416271686554,1,1,0,20,55,89.4736862182617,15,4,4107,4B
82,-0.113568536937237,0.795993208885193,-1.23581552505493,0.477812707424164,1,1,0,27,53.8461532592773,96.1538467407227,4,8,4114,8B
83,1.41218340396881,0.897686362266541,-0.915185868740082,1.07007896900177,0,1,0,27,46.1538467407227,100,31,8,4114,8A
84,0.664373219013214,-0.526018142700195,-0.0228675473481417,0.181679621338844,0,1,0,27,42.3076934814453,100,31,8,4114,8A
85,0.924600183963776,1.20276594161987,-0.204356029629707,-0.90414172410965,1,1,0,27,50,96.1538467407227,4,8,4114,8B
86,-0.113568536937237,0.287527292966843,0.104174382984638,0.87265682220459,0,1,0,25,58.3333320617676,100,40,8,4156,8
87,1.61762571334839,1.10107278823853,0.533697128295898,1.07007896900177,0,1,0,25,58.3333320617676,95.6521759033203,31,8,4156,8A
88,-0.038374550640583,-0.58820503950119,-0.493125438690186,0.229092687368393,0,0,0,20,47.3684196472168,94.7368392944336,4,6,4156,6A
89,-0.0810678526759148,-2.1831066608429,0.619230628013611,1.23596930503845,1,0,0,22,42.8571434020996,85.7142868041992,3,4,4156,4A
90,0.510792911052704,0.280918598175049,0.546803295612335,0.415144234895706,1,0,0,22,52.3809509277344,85.7142868041992,3,4,4156,4
91,0.439756214618683,-0.526018142700195,-0.43121662735939,-0.509297609329224,1,0,0,21,57.8947372436523,63.1578941345215,5,8,4168,P-8A
92,1.41218340396881,0.694300055503845,-0.14385986328125,0.181679621338844,0,0,0,21,52.3809509277344,27.7777786254883,35,8,4168,P-8B
93,0.288408726453781,0.193577066063881,0.187429159879684,0.572878241539001,1,0,1,24,66.6666641235352,77.7777786254883,6,6,4223,PA6
94,0.771088600158691,-0.00186845927964896,0.505574584007263,0.830717384815216,0,0,1,27,71.4285736083984,100,30,6,4223,U6
95,1.48461544513702,0.0958543047308922,0.505574584007263,0.830717384815216,0,0,1,27,57.1428565979004,100,30,6,4223,U6
